description,port,status,tcp,udp
Audition Online Dance Battle, AsiaSoft Thailand Server—Status/Version Check,18200,Unofficial,True,True
Cross Fire, a multiplayer online First Person Shooter[citation needed],10009,Unofficial,True,True
Vizrt System,6100,Unofficial,True,False
Ventrilo This is the authentication port that must be allowed outbound for version 3 of Ventrilo,6100,Official,True,False
Virtual Network Computing (VNC) remote desktop protocol (used by Apple Remote Desktop and others),5900,Official,True,True
DNP (Distributed Network Protocol), a protocol used in SCADA systems between communicating RTU's and IED's,20000,Official,False,False
Usermin, Web-based user tool,20000,Unofficial,False,False
Avira Server Management Console,7001,Unofficial,True,False
Default for BEA WebLogic Server's HTTP server, though often changed during installation,7001,Unofficial,True,False
Default for Vuze's built in HTTPS Bittorrent Tracker,7000,Unofficial,True,False
Avira Server Management Console,7000,Unofficial,True,False
odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL,6619,Official,True,True
Default for BEA WebLogic Server's HTTPS server, though often changed during installation,7002,Unofficial,True,False
Default for BMC Software Control-M/Server and Control-M/Agent for Agent-to-Server, though often changed during installation,7005,Unofficial,True,False
WiT WiT Services,9020,Official,True,False
mftp, Stratacache OmniCast content delivery system MFTP file sharing protocol,5402,Official,True,True
HP Virtual Room Service,5228,Official,True,False
Google Play, Android Cloud to Device Messaging Service, Google Cloud Messaging,5228,Unofficial,True,False
iSketch[citation needed],1627,Unofficial,False,False
Cisco STUN-SDLC (Serial Tunneling—Synchronous Data Link Control) protocol,1994,Official,True,True
Chizmo Networks Transfer Tool[citation needed],1997,Unofficial,True,False
Extensible Messaging and Presence Protocol (XMPP) client connection over SSL,5223,Unofficial,True,False
Cisco X.25 over TCP (XOT) service,1998,Official,True,True
Novell NDPS Printer Agent,3396,Official,True,True
Qpur File Protocol,5083,Official,True,True
Transaction Warehouse Data Service (TWDS),8937,Official,True,False
WebSphere Application Server Administration Console,9060,Unofficial,True,False
Qpur Communication Protocol,5082,Official,True,True
Nessus web,8834,Unofficial,False,False
Hewlett-Packard Support Automation (HP OpenView Self-Healing Services)[citation needed],5814,Official,True,True
AMLFilter, AMLFilter Inc. amlf-engine-02 default https port,21022,Unofficial,True,False
AMLFilter, AMLFilter Inc. amlf-engine-02 default http port,21021,Unofficial,True,False
Cisco MGCP,2427,Official,False,True
Killing Floor,7717,Unofficial,False,True
Norman Proprietary Event Protocol NPEP,2868,Official,True,True
Real Time Streaming Protocol (RTSP),554,Official,True,True
Remotefs, RFS, rfs_server,556,Official,True,False
distributed compiler,3632,Official,True,False
new-rwho, new-who[21],550,Official,True,True
WebDAV Source,9800,Official,True,True
WebCT e-learning portal,9800,Unofficial,False,False
BitTorrent part of full range of ports used most often,6891–6900,Unofficial,True,True
Windows Live Messenger (File transfer),6891–6900,Unofficial,True,True
Aqumin AlphaVision Remote Command Interface[citation needed],7676,Unofficial,True,False
Web control interface for Folding@home v7.3.6 and later[87],7396,Unofficial,True,False
Tibia,7171,Unofficial,True,False
WAP-pushsecure Multimedia Messaging Service (MMS),2949,Official,True,True
WAP-push Multimedia Messaging Service (MMS),2948,Official,True,True
gpsd GPS daemon,2947,Official,True,False
Bitcoin testnet[99],18333,Unofficial,True,False
Megaco binary (ASN.1) H.248,2945,Unofficial,False,True
Teamware Office Agent server,25010,Official,True,False
Mikrotik RouterOS Neighbor Discovery Protocol (MNDP),5678,Unofficial,False,True
Zimbra mysql [logger][citation needed],7307,Unofficial,True,False
BrettspielWelt BSW Boardgame Portal,7670,Unofficial,True,False
Secure MQ Telemetry Transport (MQTT over SSL),8883,Official,True,True
Web Services for Devices (WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008),5357,Unofficial,True,True
The cajo project Free dynamic transparent distributed computing in Java,1198,Official,True,True
LLMNR—Link-Local Multicast Name Resolution, allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008),5355,Official,True,True
Megaco text H.248,2944,Unofficial,False,True
Multicast DNS (mDNS),5353,Official,False,True
Internet Message Access Protocol over TLS/SSL (IMAPS),993,Official,True,False
